,PROPNUM,API,WELL,D_DATE,OIL (BBL),GAS (MCF),WATER (BBL),CASING_PRESS (PSI),TUBING_PRESS (PSI),CHOKE (/64THS INCH)
112,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,3/3/2014,247.44,68.34,201.0,70.0,260.0,0.0
113,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,3/4/2014,256.45,59.03,206.0,80.0,260.0,0.0
114,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,3/5/2014,264.85,64.82,203.0,80.0,260.0,0.0
115,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,3/6/2014,273.9,66.2,190.0,90.0,290.0,0.0
116,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,3/7/2014,256.2,58.74,191.0,70.0,220.0,0.0
117,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,3/8/2014,256.59,59.38,192.0,80.0,220.0,0.0
118,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,3/9/2014,263.02,54.64,194.0,70.0,180.0,0.0
119,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,3/10/2014,258.51,54.95,189.0,80.0,240.0,0.0
120,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,3/11/2014,238.53,43.22,203.0,70.0,270.0,0.0
121,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,3/12/2014,236.66,54.58,183.0,80.0,200.0,0.0
122,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,3/13/2014,226.92,50.82,176.0,60.0,200.0,0.0
123,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,3/14/2014,212.16,52.24,184.0,60.0,200.0,0.0
124,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,3/15/2014,174.55,39.24,177.0,60.0,280.0,0.0
125,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,3/16/2014,180.54,54.4,187.0,70.0,260.0,0.0
126,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,3/17/2014,177.17,40.2,183.0,70.0,260.0,0.0
127,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,3/18/2014,174.97,46.84,196.0,70.0,280.0,0.0
128,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,3/19/2014,176.96,42.6,181.0,60.0,270.0,0.0
129,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,3/20/2014,175.5,21.9,163.0,60.0,270.0,0.0
130,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,3/21/2014,174.32,37.06,195.0,60.0,280.0,0.0
131,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,3/22/2014,173.03,38.56,191.0,60.0,260.0,0.0
132,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,3/23/2014,166.47,63.58,181.0,60.0,260.0,0.0
133,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,3/24/2014,161.49,44.35,192.0,60.0,290.0,0.0
134,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,3/25/2014,138.92,45.82,207.0,60.0,220.0,0.0
135,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,3/26/2014,133.11,45.91,217.0,80.0,280.0,0.0
136,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,3/27/2014,131.85,42.7,178.0,60.0,260.0,0.0
137,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,3/28/2014,140.67,41.71,205.0,65.0,260.0,0.0
138,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,3/29/2014,134.77,48.09,178.0,70.0,260.0,0.0
139,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,3/30/2014,138.21,41.65,193.0,60.0,220.0,0.0
140,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,3/31/2014,138.81,31.64,169.0,70.0,200.0,0.0
141,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,4/1/2014,142.39,30.17,222.0,60.0,220.0,0.0
142,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,4/2/2014,140.31,17.41,226.0,70.0,280.0,0.0
143,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,4/3/2014,142.13,22.93,206.0,60.0,260.0,0.0
144,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,4/4/2014,145.58,22.54,212.0,60.0,320.0,0.0
145,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,4/5/2014,146.09,34.67,206.0,60.0,260.0,0.0
146,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,4/6/2014,142.48,34.62,192.0,50.0,350.0,0.0
147,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,4/7/2014,133.94,43.89,180.0,80.0,440.0,0.0
148,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,4/8/2014,149.97,35.27,173.0,60.0,420.0,0.0
149,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,4/9/2014,129.83,37.19,162.0,70.0,400.0,0.0
150,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,4/10/2014,132.48,48.64,167.0,70.0,420.0,0.0
151,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,4/11/2014,124.62,38.53,170.0,50.0,350.0,0.0
152,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,4/12/2014,126.78,36.36,164.0,50.0,320.0,0.0
153,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,4/13/2014,126.57,44.94,163.0,50.0,420.0,0.0
154,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,4/14/2014,126.04,32.49,162.0,50.0,400.0,0.0
155,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,4/15/2014,131.1,25.33,157.0,50.0,400.0,0.0
156,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,4/16/2014,121.34,36.97,147.0,50.0,380.0,0.0
157,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,4/17/2014,106.17,28.57,156.0,50.0,300.0,0.0
158,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,4/18/2014,109.15,17.13,122.0,60.0,300.0,0.0
159,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,4/19/2014,121.15,50.81,124.0,60.0,240.0,0.0
160,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,4/20/2014,117.79,42.72,113.0,70.0,280.0,0.0
161,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,4/21/2014,120.29,45.9,123.0,50.0,230.0,0.0
162,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,4/22/2014,124.02,44.38,118.0,65.0,300.0,0.0
163,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,4/23/2014,123.36,39.21,119.0,65.0,280.0,0.0
164,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,4/24/2014,122.18,41.91,122.0,60.0,300.0,0.0
165,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,4/25/2014,120.5,41.39,116.0,60.0,320.0,0.0
166,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,4/26/2014,111.0,27.5,115.0,40.0,330.0,0.0
167,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,4/27/2014,115.53,31.47,118.0,70.0,300.0,0.0
168,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,4/28/2014,112.47,33.94,104.0,50.0,320.0,0.0
169,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,4/29/2014,109.02,32.05,109.0,50.0,300.0,0.0
170,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,4/30/2014,106.02,30.25,94.0,70.0,320.0,0.0
171,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,5/1/2014,112.13,28.73,96.0,70.0,320.0,0.0
172,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,5/2/2014,103.21,29.35,106.0,110.0,300.0,0.0
173,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,5/3/2014,104.62,30.14,112.0,80.0,320.0,0.0
174,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,5/4/2014,112.19,32.4,114.0,70.0,300.0,0.0
175,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,5/5/2014,111.64,31.22,115.0,70.0,320.0,0.0
176,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,5/6/2014,106.14,32.05,113.0,65.0,315.0,0.0
177,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,5/7/2014,115.88,31.24,115.0,60.0,300.0,0.0
178,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,5/8/2014,108.11,31.0,113.0,70.0,315.0,0.0
179,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,5/9/2014,108.41,29.53,109.0,60.0,310.0,0.0
180,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,5/10/2014,107.47,30.92,107.0,65.0,310.0,0.0
181,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,5/11/2014,101.39,31.85,99.0,60.0,290.0,0.0
182,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,5/12/2014,109.34,33.71,109.0,70.0,320.0,0.0
183,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,5/13/2014,99.07,30.62,99.0,60.0,300.0,0.0
184,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,5/14/2014,105.27,30.36,114.0,60.0,320.0,0.0
185,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,5/15/2014,107.62,30.14,111.0,60.0,310.0,0.0
186,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,5/16/2014,105.74,33.52,108.0,70.0,300.0,0.0
